9 306
3 5 6
3 5 14
3 5 30
3 5 62
3 5 126
3 5 254
3 5 510
3 5 9
3 5 25
3 5 57
3 5 121
3 5 249
3 5 505
3 13 22
3 13 54
3 13 118
3 13 246
3 13 502
3 13 14
3 13 30
3 13 62
3 13 126
3 13 254
3 13 510
3 13 17
3 13 49
3 13 113
3 13 241
3 13 497
3 13 21
3 13 53
3 13 117
3 13 245
3 13 501
3 29 38
3 29 102
3 29 230
3 29 486
3 29 46
3 29 110
3 29 238
3 29 494
3 29 30
3 29 62
3 29 126
3 29 254
3 29 510
3 29 33
3 29 97
3 29 225
3 29 481
3 29 37
3 29 101
3 29 229
3 29 485
3 29 45
3 29 109
3 29 237
3 29 493
3 61 70
3 61 198
3 61 454
3 61 78
3 61 206
3 61 462
3 61 94
3 61 222
3 61 478
3 61 62
3 61 126
3 61 254
3 61 510
3 61 65
3 61 193
3 61 449
3 61 69
3 61 197
3 61 453
3 61 77
3 61 205
3 61 461
3 61 93
3 61 221
3 61 477
3 125 134
3 125 390
3 125 142
3 125 398
3 125 158
3 125 414
3 125 190
3 125 446
3 125 126
3 125 254
3 125 510
3 125 129
3 125 385
3 125 133
3 125 389
3 125 141
3 125 397
3 125 157
3 125 413
3 125 189
3 125 445
3 253 262
3 253 270
3 253 286
3 253 318
3 253 382
3 253 254
3 253 510
3 253 257
3 253 261
3 253 269
3 253 285
3 253 317
3 253 381
3 509 510
7 25 42
7 25 106
7 25 234
7 25 490
7 25 26
7 25 58
7 25 122
7 25 250
7 25 506
7 25 46
7 25 110
7 25 238
7 25 494
7 25 97
7 25 225
7 25 481
7 25 41
7 25 105
7 25 233
7 25 489
7 25 35
7 25 99
7 25 227
7 25 483
7 57 74
7 57 202
7 57 458
7 57 90
7 57 218
7 57 474
7 57 58
7 57 122
7 57 250
7 57 506
7 57 78
7 57 206
7 57 462
7 57 193
7 57 449
7 57 73
7 57 201
7 57 457
7 57 89
7 57 217
7 57 473
7 57 67
7 57 195
7 57 451
7 121 138
7 121 394
7 121 154
7 121 410
7 121 186
7 121 442
7 121 122
7 121 250
7 121 506
7 121 142
7 121 398
7 121 385
7 121 137
7 121 393
7 121 153
7 121 409
7 121 185
7 121 441
7 121 131
7 121 387
7 249 266
7 249 282
7 249 314
7 249 378
7 249 250
7 249 506
7 249 270
7 249 265
7 249 281
7 249 313
7 249 377
7 249 259
7 505 506
15 51 212
15 51 468
15 51 60
15 51 124
15 51 252
15 51 508
15 51 449
15 51 85
15 51 213
15 51 469
15 51 53
15 51 117
15 51 245
15 51 501
15 51 93
15 51 221
15 51 477
15 51 195
15 51 451
15 51 83
15 51 211
15 51 467
15 51 71
15 51 199
15 51 455
15 113 402
15 113 178
15 113 434
15 113 114
15 113 242
15 113 498
15 113 150
15 113 406
15 113 158
15 113 414
15 113 401
15 113 177
15 113 433
15 113 387
15 113 135
15 113 391
15 115 404
15 115 188
15 115 444
15 115 124
15 115 252
15 115 508
15 115 149
15 115 405
15 115 181
15 115 437
15 115 117
15 115 245
15 115 501
15 115 157
15 115 413
15 115 387
15 115 147
15 115 403
15 115 179
15 115 435
15 115 135
15 115 391
15 241 306
15 241 370
15 241 242
15 241 498
15 241 278
15 241 286
15 241 305
15 241 369
15 241 263
15 243 316
15 243 380
15 243 252
15 243 508
15 243 277
15 243 309
15 243 373
15 243 245
15 243 501
15 243 285
15 243 275
15 243 307
15 243 371
15 243 263
15 497 498
15 499 508
15 499 501
31 227 364
31 227 236
31 227 492
31 227 380
31 227 357
31 227 229
31 227 485
31 227 301
31 227 317
31 227 355
31 227 271
31 481 482
31 483 492
31 483 485
63 455 504
63 455 473
63 455 459
